Time	Temp_Diode	MKS1000	LowerEdge	Bandwidth	Center_Stimulus	QualityFactor	LowerEdge	Loss	Max_Freq
3820892610.073	293.640	986.690	648833686.000	55326.000	648861348.410	11727.964	648889012.000	76.549	648861348.410
3820892612.590	293.614	986.990	648833686.000	55326.000	648861348.410	11727.964	648889012.000	76.549	648861348.410
3820892615.058	293.614	987.502	648833686.000	55326.000	648861348.410	11727.964	648889012.000	76.549	648861348.410
3820892616.039	293.614	987.668	648833686.000	55326.000	648861348.410	11727.964	648889012.000	76.549	648861348.410
3820892618.341	293.641	988.052	648830782.000	58494.000	648860028.341	11092.762	648889276.000	76.724	648860028.341
3820892618.896	293.641	988.211	648830782.000	57484.000	648859523.363	11287.654	648888266.000	76.724	648859523.363
3820892622.364	293.651	988.525	648830782.000	57484.000	648859523.363	11287.654	648888266.000	76.724	648859523.363
3820892676.879	293.624	986.280	648831469.000	58853.000	648860894.833	11025.112	648890322.000	76.782	648860894.833
3820892678.228	293.624	986.288	648831469.000	58853.000	648860894.833	11025.112	648890322.000	76.782	648860894.833
3820892679.189	293.624	986.296	648831469.000	58853.000	648860894.833	11025.112	648890322.000	76.782	648860894.833
3820892680.285	293.662	986.299	648831469.000	58853.000	648860894.833	11025.112	648890322.000	76.782	648860894.833
3820892681.388	293.662	986.342	648831469.000	58853.000	648860894.833	11025.112	648890322.000	76.782	648860894.833
3820892713.391	293.668	986.485	648825020.000	70142.000	648860090.052	9250.664	648895162.000	77.377	648860090.052
3820892716.195	293.662	986.465	648825020.000	70142.000	648860090.052	9250.664	648895162.000	77.377	648860090.052
3820892717.138	293.662	986.462	648825020.000	70142.000	648860090.052	9250.664	648895162.000	77.377	648860090.052
3820893756.389	292.971	1009.359	648818233.000	69467.000	648852965.570	9340.449	648887700.000	77.404	648852965.570
3820893801.439	292.457	1003.109	648819197.000	68726.000	648853559.090	9441.166	648887923.000	77.372	648853559.090
3820893837.476	291.929	1007.247	648817295.000	68197.000	648851392.604	9514.369	648885492.000	77.380	648851392.604
3820893870.509	291.414	1005.665	648817376.000	68392.000	648851571.099	9487.244	648885768.000	77.412	648851571.099
3820893899.542	290.907	1008.687	648815590.000	67822.000	648849500.114	9566.947	648883412.000	77.387	648849500.114
3820893944.761	290.149	1009.908	648815781.000	65729.000	648848644.668	9871.573	648881510.000	77.225	648848644.668
3820893966.405	289.633	1008.541	648816950.000	64259.000	648849078.705	10097.404	648881209.000	77.232	648849078.705
3820893990.446	289.091	1004.242	648816970.000	65579.000	648849758.671	9894.170	648882549.000	77.212	648849758.671
3820894017.476	288.494	1010.036	648815565.000	65386.000	648848257.176	9923.351	648880951.000	77.215	648848257.176
3820894041.521	287.959	1007.298	648815571.000	64879.000	648848009.689	10000.894	648880450.000	77.206	648848009.689
3820894065.552	287.418	1007.078	648815938.000	65164.000	648848519.182	9957.162	648881102.000	77.158	648848519.182
3820894086.584	286.909	1009.710	648815293.000	64414.000	648847499.201	10073.082	648879707.000	77.062	648847499.201
3820894107.615	286.360	1007.543	648814957.000	63846.000	648846879.215	10162.686	648878803.000	77.016	648846879.215
3820894131.144	285.793	1007.794	648815216.000	64115.000	648847272.708	10120.054	648879331.000	76.870	648847272.708
3820894152.674	285.254	1009.549	648815150.000	64029.000	648847163.710	10133.645	648879179.000	76.821	648847163.710
3820894173.703	284.712	1007.891	648814284.000	64579.000	648846572.697	10047.331	648878863.000	76.849	648846572.697
3820894200.233	284.098	1008.414	648814375.000	63644.000	648846196.220	10194.931	648878019.000	76.964	648846196.220
3820894215.761	283.588	1009.234	648812848.000	64621.000	648845157.696	10040.779	648877469.000	76.962	648845157.696
3820894218.789	283.480	1009.246	648812848.000	64621.000	648845157.696	10040.779	648877469.000	76.962	648845157.696
3820894220.563	283.480	1009.230	648812848.000	64621.000	648845157.696	10040.779	648877469.000	76.962	648845157.696
3820894221.564	283.434	1009.228	648812848.000	64621.000	648845157.696	10040.779	648877469.000	76.962	648845157.696
3820894227.299	283.349	1009.164	648814040.000	63453.000	648845765.724	10225.612	648877493.000	76.955	648845765.724
3820894228.468	283.268	1009.151	648814040.000	63218.000	648845648.230	10263.622	648877258.000	76.955	648845648.230
3820894229.346	283.268	1009.101	648814040.000	63218.000	648845648.230	10263.622	648877258.000	76.955	648845648.230
3820894229.985	283.268	1009.047	648814040.000	63218.000	648845648.230	10263.622	648877258.000	76.955	648845648.230
3820894233.635	283.083	1008.801	648814040.000	63218.000	648845648.230	10263.622	648877258.000	76.955	648845648.230
3820894251.677	282.559	1008.254	648813283.000	63914.000	648845239.213	10151.848	648877197.000	76.846	648845239.213
3820894269.706	282.052	1008.885	648813773.000	63423.000	648845483.725	10230.445	648877196.000	76.907	648845483.725
3820894287.736	281.536	1009.075	648813175.000	64742.000	648845545.193	10022.019	648877917.000	76.925	648845545.193
