Time	Temp_Diode	MKS1000	LowerEdge	Bandwidth	Center_Stimulus	QualityFactor	LowerEdge	Loss	Max_Freq
3793002755.237	13.440	1011.311	655667827.000	13960.000	655674806.963	46968.109	655681787.000	61.253	655674806.963
3793002758.601	13.426	1011.303	655667856.000	13857.000	655674784.463	47317.225	655681713.000	61.252	655674784.463
3793002760.404	13.426	1011.310	655667856.000	13857.000	655674784.463	47317.225	655681713.000	61.252	655674784.463
3793002762.316	13.399	1011.310	655667856.000	13857.000	655674784.463	47317.225	655681713.000	61.252	655674784.463
3793002763.337	13.373	1011.310	655667856.000	13857.000	655674784.463	47317.225	655681713.000	61.252	655674784.463
3793002764.068	13.373	1011.307	655667856.000	13857.000	655674784.463	47317.225	655681713.000	61.252	655674784.463
3793002766.448	13.373	1011.291	655667856.000	13857.000	655674784.463	47317.225	655681713.000	61.252	655674784.463
3793002769.052	13.346	1011.292	655667839.000	13874.000	655674775.963	47259.246	655681713.000	61.252	655674775.963
3793002773.968	13.299	1011.308	655667770.000	14018.000	655674778.963	46773.775	655681788.000	61.250	655674778.963
3793002785.591	13.213	1011.339	655667815.000	13904.000	655674766.963	47157.276	655681719.000	61.243	655674766.963
3793002795.084	13.119	1011.361	655667815.000	13904.000	655674766.963	47157.276	655681719.000	61.243	655674766.963
3793002797.925	13.104	1011.362	655667823.000	13993.000	655674819.463	46857.344	655681816.000	61.244	655674819.463
3793002835.092	12.815	1011.435	655668145.000	13264.000	655674776.966	49432.658	655681409.000	61.010	655674776.966
3793002836.298	12.797	1011.435	655668145.000	13264.000	655674776.966	49432.658	655681409.000	61.010	655674776.966
3793002837.279	12.797	1011.431	655668145.000	13264.000	655674776.966	49432.658	655681409.000	61.010	655674776.966
3793002837.988	12.797	1011.422	655668145.000	13264.000	655674776.966	49432.658	655681409.000	61.010	655674776.966
3793002839.058	12.777	1011.432	655668145.000	13264.000	655674776.966	49432.658	655681409.000	61.010	655674776.966
3793002970.987	11.864	1011.501	655668115.000	13237.000	655674733.467	49533.484	655681352.000	60.994	655674733.467
3793002972.602	11.864	1011.501	655668180.000	13131.000	655674745.467	49933.344	655681311.000	60.966	655674745.467
3793002973.489	11.848	1011.501	655668180.000	13156.000	655674757.967	49838.458	655681336.000	60.966	655674757.967
3793002974.305	11.848	1011.483	655668180.000	13156.000	655674757.967	49838.458	655681336.000	60.966	655674757.967
